val,ind0,ind1,ind2
0.53193,0.53194,0.53191,0.53194
0.5318,0.53194,0.5318,0.53193
0.53181,0.53184,0.53177,0.5318
0.53192,0.53196,0.53178,0.53182
0.53204,0.53204,0.5319,0.53192
0.5321,0.5321,0.53203,0.53204
0.53205,0.5321,0.53205,0.5321
0.53203,0.53205,0.53202,0.53205
0.53205,0.53207,0.53202,0.53202
0.53208,0.5321,0.53204,0.53204
0.5321,0.5321,0.53208,0.53208
0.53203,0.5321,0.53203,0.5321
0.53204,0.53208,0.53201,0.53203
0.53202,0.53206,0.53197,0.53205
0.53201,0.53204,0.53199,0.53201
0.53194,0.53201,0.53192,0.53199
0.53194,0.53196,0.53192,0.53194
0.53193,0.532,0.53193,0.53194
0.532,0.532,0.53193,0.53193
0.53208,0.5321,0.53197,0.532
0.53209,0.5321,0.53207,0.53208
0.5321,0.53211,0.53208,0.53211
0.53215,0.53215,0.5321,0.5321
0.53206,0.53211,0.53206,0.53211
0.5321,0.53211,0.53206,0.53206
0.53215,0.53215,0.53208,0.53211
0.53215,0.53216,0.53213,0.53215
0.53216,0.53216,0.53214,0.53215
0.53216,0.53216,0.53212,0.53216
0.53219,0.5322,0.53214,0.53214
0.53219,0.5322,0.53214,0.53214
0.53222,0.53223,0.53214,0.53219
0.5323,0.53231,0.53224,0.53224
0.53228,0.53231,0.53228,0.5323
0.53228,0.5323,0.53226,0.53229
0.5323,0.53237,0.53224,0.53228
0.53232,0.53232,0.53224,0.5323
0.5323,0.53233,0.53229,0.53232
0.53232,0.53234,0.53228,0.53228
0.5324,0.5324,0.5323,0.53232
0.53236,0.5324,0.53234,0.53239
0.53239,0.53243,0.53234,0.53234
0.53254,0.53255,0.53239,0.53239
0.5325,0.53252,0.53243,0.53252
0.53249,0.53256,0.53248,0.5325
0.53263,0.53264,0.53248,0.53248
0.53263,0.53265,0.5326,0.53264
0.53265,0.53267,0.53261,0.53263
0.53266,0.53269,0.53263,0.53263
0.53263,0.53269,0.53252,0.53265
